"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"27",0.6315,0.84275,0.03125,0.00625,0.05925,0.0085,0.72475,0.47675,0.34825,0.6725,0.0015,0.9985,0.004,0.0315,0.512,0.55775,0.63225,0.901,0.91875,0.00825,0.99025,0.663,0.2795,0.06475,0.74875,0.6645,0.89725,0,0.2955,0.95675,0.085,0.87825,0.0095,0.1745,0.42425,0.72675,0.441,0.82425,0.99975,0.00325,0.866,0.9845,0.0135,0.17525,0.0695,0.02975,0.04275,0.47925,0.52825,0.986,0.26775,0.57275,0.4125,0.09525,0.40625,0.73425,0.0285,0.00375,0.08,0.6215,0.39575,0.006,0.4985,0.08725,0.74725,0.58725,0.22375,0.898,0.08575,0.817,0.68375,0.5745,0.0525,0.41025,0.825,0.688,0.875,0.692,0.7525,0.763,0.43975,0.26075,0.40125,0.13725,0.02125,0.19425,0.4425,0.87775,0.26175,0.88075,0.001,0.48675,0.1175,0.0065,0.67325,0.8995,0.01475,0.98175,0.81575,0.97025,0.046
"28",0.5905,0.80675,0.02425,0.00475,0.0505,0.0075,0.71,0.426,0.32075,0.632,0.0035,0.9995,0.003,0.028,0.469,0.50775,0.5835,0.89425,0.9005,0.004,0.9895,0.62575,0.22375,0.063,0.71,0.60525,0.87725,0,0.27575,0.95275,0.07275,0.85775,0.0075,0.142,0.392,0.68325,0.374,0.79825,1,0.00625,0.833,0.9825,0.01225,0.14325,0.05675,0.03,0.024,0.4695,0.47225,0.982,0.239,0.53075,0.35425,0.08875,0.38475,0.6935,0.025,0.006,0.0705,0.5745,0.33425,0.0025,0.47625,0.0765,0.7095,0.54425,0.192,0.8845,0.08525,0.77875,0.646,0.521,0.04125,0.34175,0.789,0.657,0.8515,0.673,0.7305,0.732,0.37625,0.23075,0.345,0.13225,0.024,0.16575,0.38375,0.8635,0.21275,0.85325,0.0025,0.4485,0.1005,0.0065,0.64625,0.889,0.01225,0.9805,0.797,0.96675,0.05325
"29",0.56,0.7675,0.02225,0.004,0.045,0.00675,0.672,0.40525,0.28975,0.634,0.00225,0.9995,0.00225,0.02775,0.442,0.44825,0.55375,0.8675,0.8745,0.0055,0.98875,0.59425,0.2075,0.047,0.64925,0.5755,0.8605,0.00025,0.22275,0.92925,0.06725,0.823,0.00425,0.14125,0.37475,0.64825,0.35375,0.7735,0.9995,0.0035,0.80425,0.97425,0.0105,0.1405,0.06175,0.02375,0.02775,0.43775,0.43375,0.97675,0.19775,0.518,0.3145,0.08375,0.377,0.64675,0.02375,0.00275,0.064,0.509,0.2995,0.0035,0.4125,0.0855,0.6815,0.485,0.16525,0.846,0.06425,0.76475,0.591,0.475,0.036,0.33575,0.73775,0.60325,0.82475,0.6115,0.68775,0.68825,0.36475,0.207,0.34,0.10825,0.021,0.13975,0.342,0.83625,0.20125,0.8215,0.00275,0.401,0.082,0.0055,0.61075,0.853,0.0115,0.97675,0.78,0.9545,0.036
"30",0.48475,0.73975,0.02225,0.00425,0.0405,0.0085,0.62325,0.34625,0.26875,0.58975,0.00325,0.99925,0.00225,0.017,0.38075,0.41425,0.50825,0.83075,0.856,0.003,0.9805,0.54025,0.1705,0.041,0.62775,0.542,0.8335,0,0.21,0.91275,0.05325,0.79325,0.005,0.1035,0.303,0.5885,0.3135,0.73725,0.99775,0.004,0.7665,0.96175,0.00875,0.12575,0.04425,0.0215,0.01675,0.4045,0.385,0.963,0.182,0.4735,0.29025,0.07075,0.34025,0.63975,0.018,0.0025,0.0535,0.478,0.27425,0.00225,0.3905,0.065,0.6315,0.47225,0.13875,0.83025,0.058,0.704,0.57075,0.46475,0.0285,0.28625,0.69075,0.5515,0.79475,0.59225,0.65725,0.65425,0.32725,0.1715,0.26825,0.0875,0.012,0.1245,0.33175,0.80325,0.16525,0.79825,0.0025,0.348,0.07725,0.00475,0.5525,0.85925,0.00625,0.97075,0.76725,0.938,0.035
"31",0.45275,0.70425,0.016,0.00175,0.03475,0.004,0.5835,0.3165,0.22625,0.5595,0.00175,0.99775,0.00125,0.01475,0.34675,0.38975,0.45475,0.79875,0.8285,0.00225,0.9795,0.51025,0.15675,0.044,0.58625,0.50475,0.77525,0,0.17825,0.8925,0.05175,0.75575,0.0065,0.082,0.2715,0.57625,0.27925,0.71475,0.99825,0.003,0.739,0.9525,0.006,0.1015,0.03975,0.021,0.01625,0.37575,0.3475,0.966,0.1355,0.4315,0.2405,0.05125,0.316,0.6045,0.01625,0.00175,0.04975,0.42275,0.22975,0.0025,0.355,0.06025,0.614,0.4325,0.12,0.7905,0.051,0.66575,0.51525,0.4085,0.021,0.249,0.66,0.49875,0.75275,0.553,0.63975,0.58975,0.309,0.1545,0.24325,0.09725,0.01125,0.097,0.29625,0.76175,0.13475,0.752,0.0015,0.29975,0.06275,0.002,0.50925,0.823,0.012,0.96325,0.7245,0.92875,0.02225
"32",0.42875,0.65525,0.0155,0.0015,0.02275,0.00425,0.5345,0.277,0.2075,0.5075,0.0015,0.9985,0.0025,0.01475,0.3075,0.336,0.401,0.78975,0.805,0.004,0.97625,0.45575,0.117,0.0385,0.553,0.4455,0.7535,0.00025,0.15525,0.8485,0.041,0.6915,0.00375,0.079,0.252,0.49575,0.224,0.68,0.997,0.00075,0.694,0.9585,0.00525,0.09625,0.04425,0.0155,0.018,0.35025,0.3285,0.936,0.137,0.42675,0.19425,0.04875,0.273,0.5225,0.014,0.00175,0.0515,0.383,0.21325,0.001,0.32725,0.046,0.54775,0.3995,0.10225,0.749,0.0375,0.6115,0.4695,0.35175,0.018,0.21025,0.60825,0.467,0.72025,0.48575,0.571,0.57575,0.27325,0.1285,0.19675,0.092,0.00575,0.08225,0.242,0.6995,0.1245,0.7315,0.00075,0.28625,0.0465,0.00275,0.47825,0.79025,0.006,0.948,0.698,0.922,0.02275
"33",0.393,0.6005,0.0085,0.0025,0.02575,0.005,0.46675,0.23275,0.19,0.486,0.00075,0.99775,0.00125,0.01,0.26875,0.3015,0.36425,0.75925,0.77425,0.00125,0.9645,0.38325,0.087,0.031,0.49775,0.403,0.718,0,0.11025,0.84525,0.04075,0.65625,0.004,0.05125,0.195,0.458,0.1975,0.629,0.99725,0.00175,0.6695,0.933,0.003,0.08175,0.03225,0.0155,0.00975,0.31125,0.283,0.93075,0.09525,0.38675,0.1705,0.04075,0.274,0.49025,0.009,0.001,0.0375,0.34425,0.168,0.00175,0.2895,0.0405,0.51625,0.35275,0.08025,0.71625,0.03525,0.56425,0.41425,0.3025,0.0135,0.192,0.55675,0.43725,0.684,0.4665,0.51225,0.515,0.24525,0.11975,0.17225,0.0715,0.00525,0.064,0.22325,0.68975,0.09575,0.69675,0.002,0.20625,0.03925,0.0015,0.39625,0.76275,0.00575,0.9295,0.6715,0.8885,0.0165
"34",0.3465,0.551,0.00625,0.00075,0.02025,0.00525,0.4305,0.2055,0.16375,0.42425,0.003,0.99675,0.001,0.0125,0.21675,0.27225,0.32925,0.72575,0.72975,0.0015,0.95725,0.36375,0.0615,0.02725,0.46175,0.36525,0.654,0,0.092,0.80225,0.0365,0.61175,0.0025,0.0495,0.1705,0.3765,0.16325,0.62325,0.99225,0.003,0.601,0.924,0.0015,0.06725,0.025,0.00825,0.0085,0.28075,0.26025,0.91,0.085,0.3345,0.1565,0.03775,0.24025,0.46275,0.00825,0.00125,0.034,0.28775,0.13025,0.00075,0.2205,0.0385,0.45975,0.30625,0.061,0.6825,0.03,0.531,0.368,0.2635,0.0095,0.148,0.50525,0.382,0.63025,0.412,0.4915,0.479,0.2025,0.09525,0.1655,0.05875,0.00725,0.0565,0.1795,0.65375,0.0695,0.64675,0.00125,0.2075,0.03175,0.00175,0.39225,0.72225,0.005,0.919,0.63425,0.861,0.0135
"35",0.28475,0.4745,0.00525,0.001,0.0155,0.00225,0.38525,0.1605,0.1375,0.40325,0.001,0.9965,0.00025,0.00675,0.188,0.20875,0.291,0.65375,0.67625,0.001,0.95725,0.30975,0.066,0.0215,0.42275,0.30575,0.6325,0,0.0725,0.75475,0.02675,0.575,0.002,0.0375,0.156,0.34725,0.1325,0.55225,0.99175,0.0015,0.55925,0.91,0.00325,0.0575,0.0265,0.00825,0.00725,0.25275,0.2195,0.89175,0.07675,0.30675,0.113,0.029,0.213,0.3965,0.00775,0.00075,0.0245,0.25675,0.102,0.0015,0.2145,0.038,0.38475,0.26775,0.04825,0.6555,0.01775,0.492,0.31475,0.24125,0.0085,0.1185,0.472,0.32225,0.58975,0.369,0.4335,0.43375,0.18375,0.08125,0.124,0.0605,0.0035,0.0465,0.14475,0.6045,0.062,0.58925,0.00075,0.178,0.0235,0.00175,0.32375,0.66975,0.00525,0.907,0.56175,0.8375,0.00925
"36",0.26275,0.45025,0.00525,0.00175,0.01475,0.00275,0.32,0.13625,0.124,0.36275,5e-04,0.99375,0.00025,0.00525,0.14475,0.17825,0.25175,0.6175,0.64675,0.00075,0.94675,0.247,0.04225,0.017,0.3615,0.25,0.54425,0,0.06825,0.74725,0.02725,0.527,0.00275,0.02225,0.12625,0.3195,0.101,0.53375,0.98675,0.00125,0.49875,0.88325,0.00225,0.04475,0.0215,0.00975,0.00425,0.249,0.171,0.87625,0.0615,0.297,0.0925,0.026,0.202,0.39025,0.00675,0.00125,0.02375,0.23375,0.10125,0.0015,0.1675,0.029,0.35675,0.25875,0.04325,0.58825,0.02025,0.45375,0.27425,0.19675,0.01,0.101,0.423,0.27225,0.51925,0.33925,0.364,0.4015,0.16175,0.057,0.102,0.03925,0.003,0.039,0.11575,0.55,0.0575,0.5465,0.00025,0.13775,0.0145,0.001,0.28775,0.6445,0.0025,0.8805,0.53525,0.803,0.0095
