year,escapement
1992,7348
1993,5794.28
1994,5543.42
1995,6892
1996,10613
1997,4872
1998,14391.75
1999,4799.18
2000,16759.19
2001,13292.66
2002,18151.85
2003,9243.58
2004,22777.92
2005,19951.29
2006,19468.28
2007,10024.88
2008,10421.59
2009,6660.36
2010,7489.64
2011,5117.9
2012,13335.38095
2013,10748.95128
2014,10285
2015,12868
2016,18848
2017,12305
2018,10230.05952
