"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"49",0.77175,0.472,0.6015,0.7925,0.52925,0.814,0.75575,0.60125,0.57025,0.88825,0.6385,0.665,0.64175,0.83475,0.722,0.401,0.55775,0.84275,0.683,0.94325,0.77475,0.75675,0.624,0.82725,0.72825,0.8185,0.923,0.97675,0.86425,0.7975,0.77875,0.825,0.9245,0.62225,0.7495,0.99825,0.74925,0.8975,0.62875,0.773,0.713,0.6265,0.6925,0.894,0.58525,0.89925,0.4005,0.57775,0.6535,0.83175,0.85825,0.68475,0.5625,0.8265,0.64475,0.87175,0.64325,0.51475,0.85025,0.7595,0.39925,0.869,0.80175,0.5455,0.70475,0.9485,0.821,0.8995,0.82775,0.79575,0.7745,0.79,0.85625,0.58025,0.85225,0.8885,0.7575,0.75325,0.7625,0.68025,0.60275,0.7635,0.6965,0.88425,0.5855,0.499,0.7815,0.668,0.79925,0.58675,0.83225,0.9965,0.48775,0.99975,0.81075,0.8585,0.76025,0.65,0.70775,0.69025,0.97825
"50",0.75225,0.44,0.536,0.8005,0.4905,0.8005,0.703,0.54525,0.53275,0.85625,0.63425,0.659,0.62275,0.824,0.665,0.365,0.49,0.80425,0.6035,0.929,0.73625,0.7175,0.57925,0.784,0.7175,0.81775,0.9095,0.96475,0.84975,0.7685,0.75075,0.78575,0.9155,0.595,0.73175,0.9955,0.702,0.88575,0.57675,0.734,0.6595,0.60025,0.6575,0.875,0.56575,0.8755,0.33075,0.543,0.626,0.821,0.863,0.64225,0.55225,0.81325,0.6055,0.84825,0.598,0.499,0.81825,0.73475,0.36025,0.88125,0.76725,0.4965,0.66875,0.9175,0.7975,0.88325,0.78725,0.78725,0.70075,0.7425,0.83925,0.53775,0.837,0.8735,0.71875,0.7465,0.7135,0.64025,0.603,0.7315,0.67475,0.86425,0.5265,0.4235,0.723,0.64275,0.78475,0.57525,0.79475,0.9955,0.43775,0.99925,0.7855,0.8235,0.745,0.60675,0.697,0.65625,0.97675
"51",0.704,0.3815,0.47725,0.7755,0.46125,0.7635,0.67325,0.50075,0.49125,0.8235,0.59125,0.62525,0.59225,0.78225,0.6365,0.34725,0.44325,0.7635,0.53425,0.89125,0.713,0.6665,0.5605,0.764,0.63,0.78425,0.877,0.957,0.8205,0.743,0.7235,0.758,0.895,0.55825,0.70675,0.9895,0.646,0.87075,0.504,0.6975,0.64525,0.539,0.597,0.85075,0.53425,0.83975,0.2755,0.524,0.58725,0.781,0.83825,0.6155,0.48325,0.7885,0.58825,0.815,0.55175,0.463,0.7785,0.7165,0.29975,0.8675,0.75225,0.43725,0.6095,0.9005,0.7645,0.8365,0.75625,0.76175,0.65275,0.6925,0.82125,0.46475,0.817,0.85,0.68425,0.722,0.6655,0.60775,0.54675,0.6605,0.63875,0.83475,0.49375,0.39475,0.61975,0.60525,0.755,0.49525,0.75175,0.991,0.425,0.998,0.7785,0.79725,0.692,0.56775,0.667,0.60575,0.96775
"52",0.6675,0.3455,0.40775,0.72825,0.43375,0.7425,0.628,0.4785,0.44325,0.78725,0.56825,0.5935,0.56975,0.745,0.564,0.32125,0.392,0.71825,0.48775,0.8605,0.68225,0.62925,0.521,0.744,0.58025,0.743,0.86575,0.94175,0.80375,0.6965,0.6795,0.70475,0.86075,0.51325,0.67475,0.98225,0.621,0.84025,0.45675,0.65775,0.579,0.47575,0.543,0.8345,0.50625,0.792,0.22175,0.479,0.5595,0.74725,0.8315,0.58525,0.44775,0.77425,0.5465,0.7905,0.543,0.41625,0.7555,0.66975,0.27525,0.86025,0.6925,0.392,0.535,0.85275,0.7115,0.8,0.731,0.728,0.596,0.62925,0.76875,0.4195,0.78025,0.81925,0.653,0.6965,0.63375,0.58525,0.5245,0.605,0.596,0.8155,0.44625,0.352,0.577,0.55675,0.7305,0.443,0.727,0.985,0.384,0.99725,0.74375,0.7425,0.66725,0.5005,0.639,0.541,0.9635
"53",0.61225,0.2795,0.35525,0.70775,0.396,0.7065,0.59575,0.45075,0.418,0.74475,0.526,0.6025,0.5525,0.72225,0.524,0.28525,0.32275,0.65275,0.40175,0.84125,0.6595,0.56775,0.4775,0.7025,0.54525,0.74025,0.8105,0.9245,0.78275,0.64125,0.63325,0.652,0.83325,0.4785,0.62425,0.97275,0.54625,0.8365,0.3975,0.58425,0.55425,0.39975,0.4685,0.7945,0.4605,0.778,0.1645,0.46625,0.4935,0.72275,0.82025,0.5515,0.424,0.74625,0.4895,0.75825,0.48625,0.36675,0.72125,0.65125,0.2295,0.84,0.6945,0.30975,0.47825,0.804,0.68,0.73525,0.67825,0.71375,0.54375,0.5875,0.76025,0.362,0.75525,0.79225,0.605,0.67875,0.599,0.53175,0.45775,0.5105,0.55225,0.776,0.386,0.2985,0.47475,0.489,0.7145,0.39025,0.68475,0.9755,0.37025,0.9925,0.7155,0.69875,0.62125,0.454,0.589,0.4935,0.9585
"54",0.55525,0.26325,0.27525,0.65175,0.36675,0.66525,0.53225,0.40075,0.373,0.69025,0.49175,0.55375,0.51625,0.649,0.4345,0.242,0.2435,0.60725,0.32575,0.7995,0.61025,0.50675,0.4345,0.64725,0.51875,0.67975,0.78825,0.90975,0.742,0.58775,0.5975,0.6055,0.79675,0.447,0.57325,0.95525,0.526,0.811,0.34575,0.51825,0.50275,0.35325,0.42225,0.77125,0.445,0.72775,0.1235,0.41625,0.454,0.67325,0.79875,0.5255,0.377,0.71625,0.46725,0.7105,0.43075,0.31925,0.69675,0.61225,0.19325,0.81875,0.63475,0.25475,0.39625,0.7435,0.6385,0.66575,0.6405,0.68875,0.4585,0.51625,0.7145,0.30875,0.70575,0.77,0.561,0.667,0.51775,0.4895,0.43875,0.45625,0.52675,0.7565,0.3335,0.24875,0.4245,0.454,0.69925,0.3335,0.62575,0.96425,0.31075,0.989,0.7125,0.629,0.58425,0.3825,0.57625,0.414,0.94825
"55",0.51425,0.21325,0.2155,0.6255,0.354,0.65075,0.492,0.3525,0.3295,0.60825,0.469,0.5425,0.477,0.61425,0.38175,0.242,0.2,0.53625,0.2795,0.74575,0.57525,0.45,0.37075,0.61325,0.41925,0.63675,0.73025,0.87925,0.73125,0.522,0.558,0.54175,0.72,0.3945,0.55925,0.928,0.445,0.788,0.278,0.46675,0.4645,0.26325,0.3595,0.71175,0.4225,0.67525,0.1065,0.40425,0.41,0.62225,0.7935,0.46625,0.353,0.70625,0.408,0.67775,0.4135,0.3035,0.65625,0.5815,0.14975,0.806,0.60025,0.216,0.333,0.66675,0.565,0.63475,0.585,0.678,0.3815,0.472,0.666,0.2675,0.66225,0.734,0.51525,0.64725,0.4675,0.4695,0.39325,0.37875,0.46175,0.69975,0.28275,0.219,0.35125,0.40875,0.6375,0.3055,0.57375,0.93525,0.28,0.9745,0.68925,0.57875,0.55775,0.32125,0.54275,0.36,0.935
"56",0.45925,0.16775,0.181,0.5835,0.2845,0.6245,0.44625,0.3025,0.28875,0.54475,0.441,0.49775,0.455,0.56175,0.34675,0.1995,0.16225,0.46675,0.215,0.6695,0.5405,0.40425,0.31925,0.56375,0.37125,0.61525,0.709,0.82325,0.6855,0.49275,0.5015,0.48275,0.71325,0.35475,0.50225,0.89925,0.42475,0.7695,0.223,0.4165,0.3985,0.228,0.2855,0.681,0.3505,0.621,0.07475,0.37975,0.35625,0.58625,0.77625,0.421,0.30275,0.66025,0.36475,0.6335,0.37825,0.26,0.6065,0.55775,0.121,0.791,0.549,0.1655,0.27475,0.59925,0.53525,0.538,0.554,0.64875,0.31,0.38575,0.64475,0.21225,0.62,0.6895,0.464,0.62825,0.3985,0.4065,0.36825,0.304,0.433,0.677,0.2235,0.16575,0.2815,0.338,0.64925,0.2445,0.518,0.894,0.2705,0.96525,0.6575,0.5205,0.481,0.28625,0.506,0.31225,0.9185
"57",0.3945,0.135,0.118,0.5305,0.28,0.568,0.38475,0.26275,0.25475,0.5025,0.39225,0.4835,0.43025,0.511,0.251,0.1725,0.1185,0.3625,0.1625,0.6125,0.485,0.36225,0.2745,0.47175,0.351,0.587,0.62975,0.80375,0.667,0.44625,0.43625,0.418,0.641,0.298,0.4525,0.85275,0.36575,0.734,0.185,0.3425,0.366,0.187,0.23825,0.6315,0.33725,0.57075,0.0505,0.343,0.3265,0.51525,0.762,0.38775,0.2545,0.60475,0.319,0.5845,0.3435,0.21525,0.5675,0.5255,0.098,0.7645,0.4925,0.10975,0.20025,0.4995,0.48,0.48325,0.47225,0.60775,0.2665,0.34175,0.58975,0.17025,0.571,0.6565,0.40575,0.5955,0.3655,0.36775,0.32375,0.245,0.38125,0.618,0.20025,0.1365,0.20025,0.29975,0.6105,0.20325,0.45275,0.8525,0.2235,0.931,0.64225,0.44025,0.44475,0.2095,0.452,0.238,0.9115
"58",0.331,0.1135,0.0845,0.49475,0.2325,0.525,0.323,0.249,0.20875,0.42775,0.36,0.45725,0.38475,0.4525,0.19525,0.14725,0.08675,0.33325,0.125,0.53525,0.43,0.29225,0.2395,0.454,0.265,0.515,0.55275,0.73775,0.629,0.369,0.383,0.39175,0.59875,0.24075,0.41275,0.79375,0.319,0.70225,0.14075,0.3025,0.32025,0.137,0.19525,0.57,0.2835,0.513,0.03175,0.29575,0.26075,0.464,0.7375,0.32725,0.20225,0.5755,0.26625,0.528,0.2865,0.1815,0.50525,0.47625,0.07025,0.7615,0.46125,0.08075,0.1665,0.39525,0.41225,0.382,0.43175,0.569,0.18975,0.28175,0.5235,0.1235,0.52475,0.60575,0.36575,0.57475,0.2975,0.3205,0.29425,0.194,0.3445,0.5815,0.1455,0.11725,0.15725,0.2245,0.58225,0.14525,0.3895,0.8025,0.2015,0.8935,0.60625,0.375,0.39225,0.1665,0.4305,0.206,0.896
